name,url,cr,type,size,ac,hp,speed,align,legendary,source,str,dex,con,int,wis,cha
dao,https://www.aidedd.org/dnd/monstres.php?vo=dao,11,elemental,Large,18,187,fly,neutral evil,NULL,Monster Manual (BR),23.0,12.0,24.0,12.0,13.0,14.0
darkling,NULL,1/2,fey,Small,14,13,NULL,chaotic neutral,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
darkling-elder,NULL,2,fey,Medium,15,27,NULL,chaotic neutral,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
darkmantle,https://www.aidedd.org/dnd/monstres.php?vo=darkmantle,1/2,monstrosity,Small,11,22,fly,unaligned,NULL,Monster Manual (SRD),16.0,12.0,13.0,2.0,10.0,5.0
death-dog,https://www.aidedd.org/dnd/monstres.php?vo=death-dog,1,monstrosity,Medium,12,39,NULL,neutral evil,NULL,Monster Manual (SRD),15.0,14.0,14.0,3.0,13.0,6.0
death-kiss,NULL,10,aberration,Large,16,161,fly,neutral evil,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
death-knight,NULL,17,undead,Medium,20,180,NULL,chaotic evil,NULL,Monster Manual,NULL,NULL,NULL,NULL,NULL,NULL
death-slaad,NULL,10,aberration (shapechanger),Medium,18,170,NULL,chaotic evil,NULL,Monster Manual,NULL,NULL,NULL,NULL,NULL,NULL
death-tyrant,NULL,14,undead,Large,19,187,fly,lawful evil,Legendary,Monster Manual,NULL,NULL,NULL,NULL,NULL,NULL
death-s-head-of-bhaal,NULL,5,humanoid (human),Medium,15,76,NULL,chaotic evil,NULL,Adventures (Descent into Avernus),NULL,NULL,NULL,NULL,NULL,NULL
deathlock,NULL,4,undead,Medium,12,36,NULL,neutral evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
deathlock-mastermind,NULL,8,undead,Medium,13,110,NULL,neutral evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
deathlock-wight,NULL,3,undead,Medium,12,37,NULL,neutral evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
deep-gnome-svirfneblin,https://www.aidedd.org/dnd/monstres.php?vo=deep-gnome-svirfneblin,1/2,humanoid (gnome),Small,15,16,NULL,neutral good,NULL,Monster Manual (SRD),15.0,14.0,14.0,12.0,10.0,9.0
deep-scion,NULL,3,humanoid (shapechanger),Medium,11,67,swim,neutral evil,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
deer,https://www.aidedd.org/dnd/monstres.php?vo=deer,0,beast,Medium,13,4,NULL,unaligned,NULL,Monster Manual (SRD),11.0,16.0,11.0,2.0,14.0,5.0
deinonychus,NULL,1,beast,Medium,13,26,NULL,unaligned,NULL,Adventures (Tomb of Annihilation),NULL,NULL,NULL,NULL,NULL,NULL
demilich,NULL,18,undead,Tiny,20,80,fly,neutral evil,Legendary,Monster Manual,NULL,NULL,NULL,NULL,NULL,NULL
demogorgon,NULL,26,fiend (demon),Huge,22,406,swim,chaotic evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
derro,NULL,1/4,humanoid (derro),Small,13,13,NULL,chaotic evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
derro-savant,NULL,3,humanoid (derro),Small,13,36,NULL,chaotic evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
deva,https://www.aidedd.org/dnd/monstres.php?vo=deva,10,celestial,Medium,17,136,fly,lawful good,NULL,Monster Manual (SRD),18.0,18.0,18.0,17.0,20.0,20.0
devilroot,https://www.aidedd.org/dnd/monstres.php?vo=devilroot,7,plant,Medium,15,105,NULL,neutral evil,NULL,Extra (AideDD),17.0,11.0,17.0,12.0,14.0,14.0
devourer,NULL,13,fiend,Large,16,178,NULL,chaotic evil,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
dhergoloth,NULL,7,fiend (yugoloth),Medium,15,119,NULL,neutral evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
dimetrodon,NULL,1/4,beast,Medium,12,19,swim,unaligned,NULL,Adventures (Tomb of Annihilation),NULL,NULL,NULL,NULL,NULL,NULL
dire-troll,NULL,13,giant,Huge,15,172,NULL,chaotic evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
dire-wolf,https://www.aidedd.org/dnd/monstres.php?vo=dire-wolf,1,beast,Large,14,37,NULL,unaligned,NULL,Monster Manual (SRD),17.0,15.0,15.0,3.0,12.0,7.0
displacer-beast,NULL,3,monstrosity,Large,13,85,NULL,lawful evil,NULL,Monster Manual,NULL,NULL,NULL,NULL,NULL,NULL
diviner,NULL,8,humanoid (any race),Medium,12,67,NULL,any alignment,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
djinni,https://www.aidedd.org/dnd/monstres.php?vo=djinni,11,elemental,Large,17,161,fly,chaotic good,NULL,Monster Manual (SRD),21.0,15.0,22.0,15.0,16.0,20.0
dolphin,https://www.aidedd.org/dnd/monstres.php?vo=dolphin,1/8,beast,Medium,12,11,swim,unaligned,NULL,Volo's Guide to Monsters,14.0,13.0,13.0,6.0,12.0,7.0
doppelganger,https://www.aidedd.org/dnd/monstres.php?vo=doppelganger,3,monstrosity (shapechanger),Medium,14,52,NULL,neutral,NULL,Monster Manual (SRD),11.0,18.0,14.0,11.0,12.0,14.0
draegloth,NULL,7,fiend (demon),Large,15,123,NULL,chaotic evil,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
draft-horse,https://www.aidedd.org/dnd/monstres.php?vo=draft-horse,1/4,beast,Large,10,19,NULL,unaligned,NULL,Monster Manual (SRD),18.0,10.0,12.0,2.0,11.0,7.0
dragon-turtle,https://www.aidedd.org/dnd/monstres.php?vo=dragon-turtle,17,dragon,Gargantuan,20,341,swim,neutral,NULL,Monster Manual (SRD),25.0,10.0,20.0,10.0,12.0,12.0
dragonbait,NULL,5,humanoid (saurial),Medium,17,120,NULL,lawful good,NULL,Adventures (Tomb of Annihilation),NULL,NULL,NULL,NULL,NULL,NULL
dretch,https://www.aidedd.org/dnd/monstres.php?vo=dretch,1/4,fiend (demon),Small,11,18,NULL,chaotic evil,NULL,Monster Manual (SRD),11.0,11.0,12.0,5.0,8.0,3.0
drider,https://www.aidedd.org/dnd/monstres.php?vo=drider,6,monstrosity,Large,19,123,NULL,chaotic evil,NULL,Monster Manual (SRD),16.0,16.0,18.0,13.0,14.0,12.0
drow,https://www.aidedd.org/dnd/monstres.php?vo=drow,1/4,humanoid (elf),Medium,15,13,NULL,neutral evil,NULL,Monster Manual (SRD),10.0,14.0,10.0,11.0,11.0,12.0
drow-arachnomancer,NULL,13,humanoid (elf),Medium,15,162,NULL,chaotic evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
drow-elite-warrior,NULL,5,humanoid (elf),Medium,18,71,NULL,neutral evil,NULL,Monster Manual,NULL,NULL,NULL,NULL,NULL,NULL
drow-favored-consort,NULL,18,humanoid (elf),Medium,15,225,NULL,neutral evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
drow-house-captain,https://www.aidedd.org/dnd/monstres.php?vo=drow-house-captain,9,humanoid (elf),Medium,16,162,NULL,neutral evil,NULL,Mordenkainen's Tome of Foes,14.0,19.0,15.0,12.0,14.0,13.0
drow-inquisitor,https://www.aidedd.org/dnd/monstres.php?vo=drow-inquisitor,14,humanoid (elf),Medium,16,143,NULL,neutral evil,NULL,Mordenkainen's Tome of Foes,11.0,15.0,14.0,16.0,21.0,20.0
drow-mage,https://www.aidedd.org/dnd/monstres.php?vo=drow-mage,7,humanoid (elf),Medium,12,45,NULL,neutral evil,NULL,Monster Manual (BR),9.0,14.0,10.0,17.0,13.0,12.0
drow-matron-mother,NULL,20,humanoid (elf),Medium,17,262,NULL,neutral evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
drow-priestress-of-lolth,NULL,8,humanoid (elf),Medium,16,71,NULL,neutral evil,NULL,Monster Manual,NULL,NULL,NULL,NULL,NULL,NULL
drow-shadowblade,NULL,11,humanoid (elf),Medium,17,150,NULL,neutral evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
druid,https://www.aidedd.org/dnd/monstres.php?vo=druid,2,humanoid (any race),Medium,11,27,NULL,any alignment,NULL,Monster Manual (SRD),10.0,12.0,13.0,12.0,15.0,11.0
dryad,https://www.aidedd.org/dnd/monstres.php?vo=dryad,1,fey,Medium,11,22,NULL,neutral,NULL,Monster Manual (SRD),10.0,12.0,11.0,14.0,15.0,18.0
duergar,https://www.aidedd.org/dnd/monstres.php?vo=duergar,1,humanoid (dwarf),Medium,16,26,NULL,lawful evil,NULL,Monster Manual (SRD),14.0,11.0,14.0,11.0,10.0,9.0
duergar-despot,NULL,12,humanoid (dwarf),Medium,21,119,NULL,lawful evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
duergar-kavalrachni,NULL,2,humanoid (dwarf),Medium,16,26,NULL,lawful evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
duergar-mind-master,NULL,2,humanoid (dwarf),Medium,14,39,NULL,lawful evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
duergar-soulblade,NULL,1,humanoid (dwarf),Medium,14,18,NULL,lawful evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
duergar-stone-guard,NULL,2,humanoid (dwarf),Medium,18,39,NULL,lawful evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
duergar-warlord,NULL,6,humanoid (dwarf),Medium,20,75,NULL,lawful evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
duergar-xarrorn,NULL,2,humanoid (dwarf),Medium,18,26,NULL,lawful evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
duodrone,NULL,1/4,construct,Medium,15,11,NULL,lawful neutral,NULL,Monster Manual,NULL,NULL,NULL,NULL,NULL,NULL
dust-mephit,https://www.aidedd.org/dnd/monstres.php?vo=dust-mephit,1/2,elemental,Small,12,17,fly,neutral evil,NULL,Monster Manual (SRD),5.0,14.0,10.0,9.0,11.0,10.0
dybbuk,NULL,4,fiend (demon),Medium,14,37,fly,chaotic evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
eagle,https://www.aidedd.org/dnd/monstres.php?vo=eagle,0,beast,Small,12,3,fly,unaligned,NULL,Monster Manual (SRD),6.0,15.0,10.0,2.0,14.0,7.0
earth-elemental,https://www.aidedd.org/dnd/monstres.php?vo=earth-elemental,5,elemental,Large,17,126,NULL,neutral,NULL,Monster Manual (SRD),20.0,8.0,20.0,5.0,10.0,5.0
earth-elemental-myrmidon,NULL,7,elemental,Medium,18,127,NULL,neutral,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
eblis,NULL,1,monstrosity,Large,13,26,fly,neutral evil,NULL,Adventures (Tomb of Annihilation),NULL,NULL,NULL,NULL,NULL,NULL
efreeti,https://www.aidedd.org/dnd/monstres.php?vo=efreeti,11,elemental,Large,17,200,fly,lawful evil,NULL,Monster Manual (SRD),22.0,12.0,24.0,16.0,15.0,16.0
eidolon,NULL,12,undead,Medium,9,63,fly,any alignment,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
elder-brain,NULL,14,aberration,Large,10,210,swim,lawful evil,Legendary,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
elder-oblex,NULL,10,ooze,Huge,16,115,NULL,lawful evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
elder-tempest,NULL,23,elemental,Gargantuan,19,264,fly,neutral,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
elephant,https://www.aidedd.org/dnd/monstres.php?vo=elephant,4,beast,Huge,12,76,NULL,unaligned,NULL,Monster Manual (SRD),22.0,9.0,17.0,3.0,11.0,6.0
elk,https://www.aidedd.org/dnd/monstres.php?vo=elk,1/4,beast,Large,10,13,NULL,unaligned,NULL,Monster Manual (SRD),16.0,10.0,12.0,2.0,10.0,6.0
empyrean,NULL,23,celestial (titan),Huge,22,313,"fly, swim",chaotic good ,Legendary,Monster Manual,NULL,NULL,NULL,NULL,NULL,NULL
enchanter,NULL,5,humanoid (any race),Medium,12,40,NULL,any alignment,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
erinyes,https://www.aidedd.org/dnd/monstres.php?vo=erinyes,12,fiend (devil),Medium,18,153,fly,lawful evil,NULL,Monster Manual (SRD),18.0,16.0,18.0,14.0,14.0,18.0
ettercap,https://www.aidedd.org/dnd/monstres.php?vo=ettercap,2,monstrosity,Medium,13,44,NULL,neutral evil,NULL,Monster Manual (SRD),14.0,15.0,13.0,7.0,12.0,8.0
ettin,https://www.aidedd.org/dnd/monstres.php?vo=ettin,4,giant,Large,12,85,NULL,chaotic evil,NULL,Monster Manual (SRD),21.0,8.0,17.0,6.0,10.0,8.0
evoker,NULL,9,humanoid (any race),Medium,12,66,NULL,any alignment,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
expert-lvl-1,NULL,0,humanoid (any race),Medium,14,11,NULL,any alignment,NULL,Essentials Kit,NULL,NULL,NULL,NULL,NULL,NULL
expert-lvl-2,NULL,0,humanoid (any race),Medium,14,16,NULL,any alignment,NULL,Essentials Kit,NULL,NULL,NULL,NULL,NULL,NULL
expert-lvl-3,NULL,0,humanoid (any race),Medium,14,22,NULL,any alignment,NULL,Essentials Kit,NULL,NULL,NULL,NULL,NULL,NULL
expert-lvl-4,NULL,0,humanoid (any race),Medium,14,27,NULL,any alignment,NULL,Essentials Kit,NULL,NULL,NULL,NULL,NULL,NULL
expert-lvl-5,NULL,0,humanoid (any race),Medium,14,33,NULL,any alignment,NULL,Essentials Kit,NULL,NULL,NULL,NULL,NULL,NULL
expert-lvl-6,NULL,0,humanoid (any race),Medium,14,38,NULL,any alignment,NULL,Essentials Kit,NULL,NULL,NULL,NULL,NULL,NULL
faerie-dragon,NULL,1,dragon,Tiny,15,14,fly,chaotic good,NULL,Monster Manual,NULL,NULL,NULL,NULL,NULL,NULL
female-steeder,NULL,1,monstrosity,Large,14,30,NULL,unaligned,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
fire-elemental,https://www.aidedd.org/dnd/monstres.php?vo=fire-elemental,5,elemental,Large,13,102,NULL,neutral,NULL,Monster Manual (SRD),10.0,17.0,16.0,6.0,10.0,7.0
fire-elemental-myrmidon,NULL,7,elemental,Medium,18,123,NULL,neutral,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
fire-giant,https://www.aidedd.org/dnd/monstres.php?vo=fire-giant,9,giant,Huge,18,162,NULL,lawful evil,NULL,Monster Manual (SRD),25.0,9.0,23.0,10.0,14.0,13.0
fire-giant-dreadnought,NULL,14,giant (fire giant),Huge,21,187,NULL,lawful evil,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
fire-snake,https://www.aidedd.org/dnd/monstres.php?vo=fire-snake,1,elemental,Medium,14,22,NULL,neutral evil,NULL,Monster Manual (BR),12.0,14.0,11.0,7.0,10.0,8.0
firenewt-warlock-of-imix,NULL,1,humanoid (firenewt),Medium,10,33,NULL,neutral evil,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
firenewt-warrior,NULL,1/2,humanoid (firenewt),Medium,16,22,NULL,neutral evil,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
fist-of-bane,NULL,1/2,humanoid (human),Medium,18,22,NULL,lawful evil,NULL,Adventures (Descent into Avernus),NULL,NULL,NULL,NULL,NULL,NULL
flail-snail,NULL,3,elemental,Large,16,52,NULL,unaligned,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
flameskull,https://www.aidedd.org/dnd/monstres.php?vo=flameskull,4,undead,Tiny,13,40,fly,neutral evil,NULL,Monster Manual (SRD),1.0,17.0,14.0,16.0,10.0,11.0
flesh-golem,https://www.aidedd.org/dnd/monstres.php?vo=flesh-golem,5,construct,Medium,9,93,NULL,neutral,NULL,Monster Manual (SRD),19.0,9.0,18.0,6.0,10.0,5.0
flind,https://www.aidedd.org/dnd/monstres.php?vo=flind,9,humanoid (gnoll),Medium,16,127,NULL,chaotic evil,NULL,Volo's Guide to Monsters,20.0,10.0,19.0,11.0,13.0,12.0
flumph,NULL,1/8,aberration,Small,12,7,fly,lawful good,NULL,Monster Manual,NULL,NULL,NULL,NULL,NULL,NULL
flying-snake,https://www.aidedd.org/dnd/monstres.php?vo=flying-snake,1/8,beast,Tiny,14,5,"fly, swim",unaligned,NULL,Monster Manual (SRD),4.0,18.0,11.0,2.0,12.0,5.0
flying-sword,https://www.aidedd.org/dnd/monstres.php?vo=flying-sword,1/4,construct,Small,17,17,fly,unaligned,NULL,Monster Manual (SRD),12.0,15.0,11.0,1.0,5.0,1.0
fomorian,NULL,8,giant,Huge,14,149,NULL,chaotic evil,NULL,Monster Manual,NULL,NULL,NULL,NULL,NULL,NULL
fraz-urb-luu,NULL,23,fiend (demon),Large,18,337,fly,chaotic evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
frog,https://www.aidedd.org/dnd/monstres.php?vo=frog,0,beast,Tiny,11,1,swim,unaligned,NULL,Monster Manual (SRD),1.0,13.0,8.0,1.0,8.0,3.0
froghemoth,https://www.aidedd.org/dnd/monstres.php?vo=froghemoth,10,monstrosity,Huge,14,184,swim,unaligned,NULL,Volo's Guide to Monsters,23.0,13.0,20.0,2.0,12.0,5.0
frost-giant,https://www.aidedd.org/dnd/monstres.php?vo=frost-giant,8,giant,Huge,15,138,NULL,neutral evil,NULL,Monster Manual (SRD),23.0,9.0,21.0,9.0,10.0,12.0
frost-giant-everlasting-one,NULL,12,giant (frost giant),Huge,15,189,NULL,chaotic evil,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
frost-salamander,NULL,9,elemental,Huge,17,168,NULL,unaligned,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
galeb-duhr,https://www.aidedd.org/dnd/monstres.php?vo=galeb-duhr,6,elemental,Medium,16,85,NULL,neutral,NULL,Monster Manual (BR),20.0,14.0,20.0,11.0,12.0,11.0
gargoyle,https://www.aidedd.org/dnd/monstres.php?vo=gargoyle,2,elemental,Medium,15,52,fly,chaotic evil,NULL,Monster Manual (SRD),15.0,11.0,16.0,6.0,11.0,7.0
gas-spore,NULL,1/2,plant,Large,5,1,fly,unaligned,NULL,Monster Manual,NULL,NULL,NULL,NULL,NULL,NULL
gauth,https://www.aidedd.org/dnd/monstres.php?vo=gauth,6,aberration,Medium,15,67,fly,lawful evil,NULL,Volo's Guide to Monsters,10.0,14.0,16.0,15.0,15.0,13.0
gazer,NULL,1/2,aberration,Tiny,13,13,fly,neutral evil,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
gelatinous-cube,https://www.aidedd.org/dnd/monstres.php?vo=gelatinous-cube,2,ooze,Large,6,84,NULL,unaligned,NULL,Monster Manual (SRD),14.0,3.0,20.0,1.0,6.0,1.0
geryon,NULL,22,fiend (devil),Huge,19,300,fly,lawful evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
ghast,https://www.aidedd.org/dnd/monstres.php?vo=ghast,2,undead,Medium,13,36,NULL,chaotic evil,NULL,Monster Manual (SRD),16.0,17.0,10.0,11.0,10.0,8.0
ghost,https://www.aidedd.org/dnd/monstres.php?vo=ghost,4,undead,Medium,11,45,fly,any alignment,NULL,Monster Manual (SRD),7.0,13.0,10.0,10.0,12.0,17.0
ghoul,https://www.aidedd.org/dnd/monstres.php?vo=ghoul,1,undead,Medium,12,22,NULL,chaotic evil,NULL,Monster Manual (SRD),13.0,15.0,10.0,7.0,10.0,6.0
giant-ape,https://www.aidedd.org/dnd/monstres.php?vo=giant-ape,7,beast,Huge,12,157,NULL,unaligned,NULL,Monster Manual (SRD),23.0,14.0,18.0,7.0,12.0,7.0
giant-badger,https://www.aidedd.org/dnd/monstres.php?vo=giant-badger,1/4,beast,Medium,10,13,NULL,unaligned,NULL,Monster Manual (SRD),13.0,10.0,15.0,2.0,12.0,5.0
giant-bat,https://www.aidedd.org/dnd/monstres.php?vo=giant-bat,1/4,beast,Large,13,22,fly,unaligned,NULL,Monster Manual (SRD),15.0,16.0,11.0,2.0,12.0,6.0
giant-boar,https://www.aidedd.org/dnd/monstres.php?vo=giant-boar,2,beast,Large,12,42,NULL,unaligned,NULL,Monster Manual (SRD),17.0,10.0,16.0,2.0,7.0,5.0
giant-centipede,https://www.aidedd.org/dnd/monstres.php?vo=giant-centipede,1/4,beast,Small,13,4,NULL,unaligned,NULL,Monster Manual (SRD),5.0,14.0,12.0,1.0,7.0,3.0
giant-constrictor-snake,https://www.aidedd.org/dnd/monstres.php?vo=giant-constrictor-snake,2,beast,Huge,12,60,swim,unaligned,NULL,Monster Manual (SRD),19.0,14.0,12.0,1.0,10.0,3.0
giant-crab,https://www.aidedd.org/dnd/monstres.php?vo=giant-crab,1/8,beast,Medium,15,13,swim,unaligned,NULL,Monster Manual (SRD),13.0,15.0,11.0,1.0,9.0,3.0
giant-crocodile,https://www.aidedd.org/dnd/monstres.php?vo=giant-crocodile,5,beast,Huge,14,85,swim,unaligned,NULL,Monster Manual (SRD),21.0,9.0,17.0,2.0,10.0,7.0
giant-eagle,https://www.aidedd.org/dnd/monstres.php?vo=giant-eagle,1,beast,Large,13,26,fly,neutral good,NULL,Monster Manual (SRD),16.0,17.0,13.0,8.0,14.0,10.0
giant-elk,https://www.aidedd.org/dnd/monstres.php?vo=giant-elk,2,beast,Huge,14,42,NULL,unaligned,NULL,Monster Manual (SRD),19.0,16.0,14.0,7.0,14.0,10.0
giant-fire-beetle,https://www.aidedd.org/dnd/monstres.php?vo=giant-fire-beetle,0,beast,Small,13,4,NULL,unaligned,NULL,Monster Manual (SRD),8.0,10.0,12.0,1.0,7.0,3.0
giant-four-armed-gargoyle,NULL,10,elemental,Large,17,147,fly,chaotic evil,NULL,Adventures (Tomb of Annihilation),NULL,NULL,NULL,NULL,NULL,NULL
giant-frog,https://www.aidedd.org/dnd/monstres.php?vo=giant-frog,1/4,beast,Medium,11,18,swim,unaligned,NULL,Monster Manual (SRD),12.0,13.0,11.0,2.0,10.0,3.0
giant-goat,https://www.aidedd.org/dnd/monstres.php?vo=giant-goat,1/2,beast,Large,11,19,NULL,unaligned,NULL,Monster Manual (SRD),17.0,11.0,12.0,3.0,12.0,6.0
giant-hyena,https://www.aidedd.org/dnd/monstres.php?vo=giant-hyena,1,beast,Large,12,45,NULL,unaligned,NULL,Monster Manual (SRD),16.0,14.0,14.0,2.0,12.0,7.0
giant-lizard,https://www.aidedd.org/dnd/monstres.php?vo=giant-lizard,1/4,beast,Large,12,19,NULL,unaligned,NULL,Monster Manual (SRD),15.0,12.0,13.0,2.0,10.0,5.0
giant-octopus,https://www.aidedd.org/dnd/monstres.php?vo=giant-octopus,1,beast,Large,11,52,swim,unaligned,NULL,Monster Manual (SRD),17.0,13.0,13.0,4.0,10.0,4.0
giant-owl,https://www.aidedd.org/dnd/monstres.php?vo=giant-owl,1/4,beast,Large,12,19,fly,neutral,NULL,Monster Manual (SRD),13.0,15.0,12.0,8.0,13.0,10.0
giant-poisonous-snake,https://www.aidedd.org/dnd/monstres.php?vo=giant-poisonous-snake,1/4,beast,Medium,14,11,swim,unaligned,NULL,Monster Manual (SRD),10.0,18.0,13.0,2.0,10.0,3.0
giant-rat,https://www.aidedd.org/dnd/monstres.php?vo=giant-rat,1/8,beast,Small,12,7,NULL,unaligned,NULL,Monster Manual (SRD),7.0,15.0,11.0,2.0,10.0,4.0
giant-scorpion,https://www.aidedd.org/dnd/monstres.php?vo=giant-scorpion,3,beast,Large,15,52,NULL,unaligned,NULL,Monster Manual (SRD),15.0,13.0,15.0,1.0,9.0,3.0
giant-sea-horse,https://www.aidedd.org/dnd/monstres.php?vo=giant-sea-horse,1/2,beast,Large,13,16,swim,unaligned,NULL,Monster Manual (SRD),12.0,15.0,11.0,2.0,12.0,5.0
giant-shark,https://www.aidedd.org/dnd/monstres.php?vo=giant-shark,5,beast,Huge,13,126,swim,unaligned,NULL,Monster Manual (SRD),23.0,11.0,21.0,1.0,10.0,5.0
giant-spider,https://www.aidedd.org/dnd/monstres.php?vo=giant-spider,1,beast,Large,14,26,NULL,unaligned,NULL,Monster Manual (SRD),14.0,16.0,12.0,2.0,11.0,4.0
giant-strider,NULL,1,monstrosity,Large,14,22,NULL,neutral evil,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
giant-toad,https://www.aidedd.org/dnd/monstres.php?vo=giant-toad,1,beast,Large,11,39,swim,unaligned,NULL,Monster Manual (SRD),15.0,13.0,13.0,2.0,10.0,3.0
giant-two-headed-goat,https://www.aidedd.org/dnd/monstres.php?vo=giant-two-headed-goat,1/2,beast,Large,11,19,NULL,unaligned,NULL,Extra (Adventurers League),17.0,11.0,12.0,3.0,12.0,6.0
giant-vulture,https://www.aidedd.org/dnd/monstres.php?vo=giant-vulture,1,beast,Large,10,22,fly,neutral evil,NULL,Monster Manual (SRD),15.0,10.0,15.0,6.0,12.0,7.0
giant-wasp,https://www.aidedd.org/dnd/monstres.php?vo=giant-wasp,1/2,beast,Medium,12,13,fly,unaligned,NULL,Monster Manual (SRD),10.0,14.0,10.0,1.0,10.0,3.0
giant-weasel,https://www.aidedd.org/dnd/monstres.php?vo=giant-weasel,1/8,beast,Medium,13,9,NULL,unaligned,NULL,Monster Manual (SRD),11.0,16.0,10.0,4.0,12.0,5.0
giant-wolf-spider,https://www.aidedd.org/dnd/monstres.php?vo=giant-wolf-spider,1/4,beast,Medium,13,11,NULL,unaligned,NULL,Monster Manual (SRD),12.0,16.0,13.0,3.0,12.0,4.0
gibbering-mouther,https://www.aidedd.org/dnd/monstres.php?vo=gibbering-mouther,2,aberration,Medium,9,67,swim,neutral,NULL,Monster Manual (SRD),10.0,8.0,16.0,3.0,10.0,6.0
giff,NULL,3,humanoid,Medium,16,60,NULL,lawful neutral,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
girallon,NULL,4,monstrosity,Large,13,59,NULL,unaligned,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
githyanki-gish,NULL,10,humanoid (gith),Medium,17,123,NULL,lawful evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
githyanki-kith--rak,NULL,12,humanoid (gith),Medium,18,180,NULL,lawful evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
githyanki-knight,NULL,8,humanoid (gith),Medium,18,91,NULL,lawful evil,NULL,Monster Manual,NULL,NULL,NULL,NULL,NULL,NULL
