movie_title;release_date;duration_minutes;genre;director;cast;language;country_of_origin;rating;box_office_revenue;currency
Buffalo '66 (a.k.a. Buffalo 66);12/16/1900;69;Drama;Esma Turville;Griffith Burress;Khmer;Aland Islands;PG;126728697;Euro
All the Way Boys (Più forte, ragazzi!);10/16/2009;160;Sci-Fi;Waylin Van De Cappelle;Antonia Pattison;Tok Pisin;Portugal;G;813667756;Euro
Mammuth;1/26/1939;110;Action;Ed Gouck;Karel Strathern;Aymara;Philippines;PG;937203936;Peso
Climax, The;01.10.1937;129;Romance;Netty Emms;Sabrina MacVanamy;Ndebele;Venezuela;NC-17;205706658;Bolivar
Major Movie Star;05.01.1984;166;Sci-Fi;Clarette Shouler;Alikee Brik;Irish Gaelic;Indonesia;G;606444290;Rupiah
Twister;11/25/1972;91;Romance;Henrie Pratton;Veronika Jozaitis;Armenian;Senegal;G;156908689;Franc
Hurricane, The;06.02.1904;109;Comedy;Tildy Nano;Nolan Gordge;Ndebele;Philippines;NC-17;978741803;Peso
Assassination Games;02.06.1931;108;Comedy;Janette McIlvaney;Morgun Ditch;Belarusian;Portugal;G;797629543;Euro
Harrison's Flowers;8/21/1925;131;Sci-Fi;Kristal Soden;Dean Masi;Japanese;Ukraine;PG;641403502;Hryvnia
Velvet Vampire, The;06.08.1936;227;Comedy;Christophorus Vant;Beverly Petteford;Sotho;China;R;393531431;Yuan Renminbi
My Rainy Days;08.09.2003;90;Sci-Fi;Leland Garter;Deerdre Cullingworth;Papiamento;Kazakhstan;NC-17;706683211;Tenge
Kabhi Haan Kabhi Naa;8/23/1912;136;Drama;Davina Pitway;Teresa Venny;Moldovan;Russia;R;333438401;Ruble
Stranger by the Lake (L'inconnu du lac);9/29/1964;64;Sci-Fi;Arvie Benit;Ebba Minico;Tamil;Albania;R;119903515;Lek
Paramore Live, the Final Riot!;6/24/1950;212;Drama;Cassie Ubsdell;Boy Aubry;Dzongkha;Philippines;NC-17;145972355;Peso
Nightwing;7/15/2017;66;Thriller;Wolfie Coode;Stan Moraleda;Danish;Mexico;PG-13;442558328;Peso
Maniac;02.04.1918;163;Sci-Fi;Ambrosio Plackstone;Diahann Coping;Greek;China;PG-13;493482525;Yuan Renminbi
Expendables, The;5/13/1913;60;Action;Codie Struys;Guillema Jeschner;Polish;China;PG;402490527;Yuan Renminbi
Head of State;07.04.1942;195;Drama;Lola Borrington;Jolynn Aylmore;Georgian;Peru;NC-17;396760358;Sol
What to Do in Case of Fire (Was tun, wenn's brennt?);11.12.1958;101;Thriller;Jack Broomhead;Luise Ketts;Spanish;Nigeria;PG;877265035;Naira
Tall Guy, The;3/25/1944;74;Thriller;Kaitlyn Clewes;Eadmund Maneylaws;Korean;American Samoa;PG-13;679859;Dollar
My Own Man;4/27/1988;236;Romance;Hanson Pengelly;Pierce Bewshaw;Finnish;Japan;R;902477407;Yen
Rites of May, The (Itim) ;2/17/1904;84;Sci-Fi;Agathe Manners;Izaak Gimenez;Haitian Creole;France;R;642403725;Euro
Six-String Samurai;01.02.1974;209;Sci-Fi;Carlo Ianittello;Sonnnie Bucky;Marathi;China;PG-13;755352936;Yuan Renminbi
Powder Blue;8/13/1971;70;Drama;Eada Kennewell;Rutherford Mollison;Estonian;Brazil;PG-13;232969156;Real
Burning Plain, The;11/18/2017;81;Comedy;Bendick Giddens;Jareb Willeson;Tamil;Denmark;G;734781434;Krone
Lust, Caution (Se, jie);03.04.1979;206;Action;Adrianna Yannikov;Stanislaw Dignan;Kazakh;Croatia;PG;676432411;Kuna
Playing 'In the Company of Men' (En jouant 'Dans la compagnie des hommes');1/13/1957;188;Comedy;Rozalie Lebrun;Elora Skerme;Tamil;Kazakhstan;PG-13;489403540;Tenge
Let's Do It Again;02.09.1979;95;Sci-Fi;Jaye Bernette;Valentin Samson;Persian;Jordan;PG-13;424971237;Dinar
Every Stewardess Goes to Heaven (Todas las azafatas van al cielo);12/21/1926;121;Romance;Kristos Ellerbeck;Marve Goford;Gujarati;Vietnam;PG-13;290327191;Dong
Adventures of Priscilla, Queen of the Desert, The;7/31/1901;92;Action;Lizabeth Crim;Tova Note;Malay;Russia;NC-17;363346622;Ruble
Husbands;12.05.1964;183;Action;Cassie Rizon;Silvia Stede;Dzongkha;Mali;R;804561551;Franc
Le printemps, l'automne et l'amour;3/31/1971;151;Romance;Bobette Adamovitch;Leighton Fowell;English;France;PG-13;909380911;Euro
In Order Not to Be Here;2/24/1977;164;Thriller;Claire Bruhn;Delmore De Maine;Telugu;Mexico;PG;110282975;Peso
Game, The;3/24/2004;232;Thriller;Betty Rickwood;Barth Stops;Dhivehi;Indonesia;PG-13;880204298;Rupiah
Someone Marry Barry;5/27/1950;231;Romance;Nefen Moles;Blisse Wycliff;Croatian;China;G;674259779;Yuan Renminbi
Teacher, A;09.09.1983;86;Drama;Noby Stannah;Nester Lawson;Tok Pisin;Haiti;PG;904623411;Gourde
Dirty Wars;08.05.2001;72;Romance;Armando Nigh;Adolph Keymer;Belarusian;United States;PG;730043277;Dollar
Winter Solstice;06.12.1986;101;Sci-Fi;Ellette Lamdin;Clarabelle Mewitt;Estonian;China;NC-17;827116751;Yuan Renminbi
Walk in the Sun, A;08.01.1920;132;Action;Lara Eassom;Neysa Sign;Tok Pisin;Poland;PG-13;439803949;Zloty
Grayeagle;01.06.2003;76;Thriller;Natal Riddle;Ike Verdy;Pashto;Indonesia;PG;800872023;Rupiah
West Point Story, The;2/19/1951;86;Action;Herminia O'Grada;Jeniece Hindshaw;Kyrgyz;Russia;PG-13;16547345;Ruble
Ong-Bak: The Thai Warrior (Ong Bak);9/19/1998;125;Horror;Irwin Lowth;Bertie Constable;Kashmiri;Indonesia;NC-17;286004715;Rupiah
The Improv: 50 Years Behind the Brick Wall;8/18/1936;181;Action;Miquela Dolligon;Bambie Moncreiff;Czech;China;PG;461519627;Yuan Renminbi
Roman;03.04.1955;122;Comedy;Gennifer Kretschmer;Shellie Crowcroft;Amharic;Indonesia;PG-13;588438357;Rupiah
Michael;9/23/2002;82;Sci-Fi;Hans Battrick;Vivyan Larkins;New Zealand Sign Language;Malaysia;NC-17;501263728;Ringgit
Ernest & Célestine (Ernest et Célestine);09.07.1996;155;Action;Maitilde Dyter;Chrissy Bedinn;Hiri Motu;Indonesia;R;782971203;Rupiah
Dead Reckoning;04.10.1968;90;Sci-Fi;Danni Harkins;Yvor Comazzo;Romanian;China;R;238487280;Yuan Renminbi
Videodrome;2/15/1901;191;Sci-Fi;Alix Brant;Nikolaos Raynham;Somali;Indonesia;G;231099191;Rupiah
Ong-Bak: The Thai Warrior (Ong Bak);09.05.1969;190;Action;Taylor Garrad;Tildy Delgua;New Zealand Sign Language;China;PG-13;188757926;Yuan Renminbi
Touchback;12/15/1949;173;Thriller;Cally Rule;Crystal Liebrecht;Luxembourgish;Paraguay;PG-13;282786057;Guarani
Warlock: The Armageddon;11/25/1909;87;Sci-Fi;Jereme Griffitt;Godfrey Northley;Belarusian;France;G;768915715;Euro
Father Sergius (Otets Sergiy);2/17/2017;66;Romance;Laetitia Jickells;Hazel Emsley;Pashto;Sweden;G;846497204;Krona
Like Father, Like Son;5/24/1952;152;Horror;Dewitt Essel;Culver Grubb;Assamese;Oman;PG;237382123;Rial
Hey Bartender;7/27/1985;155;Comedy;Ax Lishman;Renate Van der Velden;Azeri;Poland;G;486584564;Zloty
Miranda;1/14/2013;61;Comedy;Eugenius Kline;Gearalt Gleeson;Pashto;China;NC-17;705296862;Yuan Renminbi
Kill for Me;2/14/1926;209;Horror;Christabella Leathlay;Herta Cashford;Luxembourgish;Panama;PG-13;808802618;Balboa
The Radio Pirates;9/30/1935;225;Action;Mallorie Emig;Nolana Woodhall;Hungarian;Indonesia;NC-17;245531193;Rupiah
Ideal Husband, An;6/30/1953;141;Drama;Blancha Buckhurst;Cornie Tropman;Thai;Poland;NC-17;116428507;Zloty
Passion of Mind;7/21/2003;143;Action;Aline Vergo;Shaylah Martinolli;Finnish;Bulgaria;G;681621467;Lev
Instructions Not Included (No se Aceptan Devoluciones);5/23/2008;188;Thriller;Lonna Walewski;Regan Daice;Tswana;Argentina;PG-13;533372671;Peso
From Hell It Came;6/14/1978;147;Sci-Fi;Zara Kowal;Odo Grandham;Mongolian;Belarus;R;193522119;Ruble
Carne;5/29/1904;184;Thriller;Dolorita Blundan;Alisander Yegorov;Somali;China;PG-13;460876117;Yuan Renminbi
Magic & Bird: A Courtship of Rivals;7/24/2020;213;Action;Jim Vittet;Maximilien Rosas;Marathi;Brazil;PG-13;719186974;Real
Hesher;11.03.1981;65;Drama;Philippa Babalola;Gleda Commander;Hiri Motu;China;PG;961935930;Yuan Renminbi
The Lost Prince;01.01.1903;151;Thriller;Tiffy Colleck;Bianca Petraitis;Burmese;China;NC-17;745866131;Yuan Renminbi
Jumpin' Jack Flash;06.03.1926;135;Romance;Ibbie Gynni;Bar Kantor;Hindi;Lithuania;NC-17;56757640;Litas
Wake Up, Ron Burgundy;2/24/1985;103;Sci-Fi;Joleen Vanyakin;Englebert Halmkin;New Zealand Sign Language;China;G;155032833;Yuan Renminbi
Young Adam;6/17/1900;161;Horror;Kayla Wilsher;Percy Wakeley;Polish;Mexico;R;102978670;Peso
The Tenant of Wildfell Hall;09.08.1925;77;Thriller;Damien Choudhury;Lalo Tremble;Yiddish;China;PG-13;733760253;Yuan Renminbi
Junior;11/27/1986;149;Thriller;Redford Lisciandri;Filmer Meachen;Swedish;Indonesia;NC-17;397219669;Rupiah
Calling, The;01.12.2009;120;Action;Arlette Andretti;Clemmie Casemore;Pashto;Poland;G;601398558;Zloty
Music Man, The;9/20/2021;99;Thriller;Tabitha Sondland;Biddy Pound;French;China;NC-17;919870280;Yuan Renminbi
Two of Us, The (Le vieil homme et l'enfant);5/22/1931;239;Thriller;Elianora Longland;Emelda Fintoph;Romanian;China;PG;881600464;Yuan Renminbi
Barocco;2/16/1969;74;Drama;Cece Kettoe;Mikey Pitkins;Albanian;China;R;465248821;Yuan Renminbi
Married Couple, A;7/21/1925;234;Drama;Codi Fulks;Noelle Bambrugh;Romanian;China;NC-17;545871005;Yuan Renminbi
My Mom Is a Character (Minha Mãe é uma Peça: O Filme);2/28/1932;142;Sci-Fi;Cherise De Blasi;Penni Garralts;Czech;Brazil;PG;9444377;Real
Himalaya (Himalaya - l'enfance d'un chef);5/18/1984;111;Romance;Ezekiel Zimmerman;Terrell Mather;Somali;Colombia;R;222834153;Peso
Blame It on Rio;03.02.1990;192;Action;Hanan Drew;Aharon Grund;Lithuanian;Cuba;R;681841828;Peso
Devil's Diary;10/25/1942;111;Sci-Fi;Guss Pifford;Garrard Leirmonth;West Frisian;China;G;242435090;Yuan Renminbi
Sweet Charity;12.05.2013;187;Romance;Lannie Crippen;Loutitia Kenealy;Norwegian;Philippines;G;544011634;Peso
Happiness Is in the Field (Bonheur est dans le pré, Le);09.02.1955;196;Thriller;Rafi Aymes;Vevay Headan;Dutch;Cameroon;PG-13;913183366;Franc
Beer;08.02.1941;92;Thriller;Cassi Dwyer;Samara Saphin;Dutch;China;PG;24814467;Yuan Renminbi
Funhouse, The;11/27/2019;189;Drama;Meggi Lewin;Man Care;Afrikaans;Ukraine;NC-17;144206902;Hryvnia
Love Is a Many-Splendored Thing;10/29/1937;171;Comedy;Mag Shackle;Vernen Malt;Zulu;Bosnia and Herzegovina;NC-17;620401743;Marka
Goddess, The (Shen nu);1/29/1935;154;Romance;Pancho Richin;Andrej Extil;Portuguese;Brazil;G;992635899;Real
Austenland;02.09.1924;103;Thriller;Sofie Bonsale;Kirsteni Bowry;Burmese;France;G;602319594;Euro
Kissed by Winter (Vinterkyss);11.12.1980;198;Comedy;Rosella Gail;Carce Schettini;Tok Pisin;Indonesia;NC-17;218832115;Rupiah
Wraith, The;9/19/1999;240;Horror;Moses Chasmoor;Anselm Dartnall;Malay;Czech Republic;PG-13;203097732;Koruna
Grosse Pointe Blank;3/15/1972;221;Comedy;Batsheva Greensides;Ofelia Danahar;English;China;PG-13;350017182;Yuan Renminbi
We Are Legion: The Story of the Hacktivists;12/25/1907;219;Comedy;Arleta Petrakov;Nicolai Whalebelly;Japanese;Thailand;R;547817987;Baht
Excalibur;8/26/1920;135;Romance;Juditha Eisig;Ricoriki Vanyarkin;Yiddish;Indonesia;G;428487794;Rupiah
Mortal Storm, The;1/21/1941;105;Comedy;Madelene Gotthard.sf;Morganne Cranson;Amharic;Italy;G;547289251;Euro
Red Canyon;08.01.1900;147;Romance;Clary Dowden;Dulcine Eshelby;Macedonian;United States;PG;857710567;Dollar
Gentlemen of Fortune (Dzhentlmeny udachi);10.07.1972;115;Comedy;Jo-ann Hansberry;Honey Bernardotti;Dutch;China;PG-13;559039709;Yuan Renminbi
TV Junkie;04.12.1973;188;Comedy;Marni Thirwell;Janetta Dorbin;Bengali;China;PG;996930258;Yuan Renminbi
Finding Joy;3/21/1940;61;Thriller;Evangelina Settle;Riobard Hiddsley;Thai;Poland;R;994866411;Zloty
Bachelorette;12/19/1951;104;Thriller;Marie Kennicott;Livvy Rockhill;Swahili;China;R;11304104;Yuan Renminbi
Five Senses, The;08.12.1954;238;Action;Dawn Marshallsay;Tymothy Critchlow;Bislama;France;PG;137264248;Euro
Month in the Country, A;03.01.1913;133;Action;Marinna Rizzone;Matthew Huggon;Filipino;Canada;G;571593972;Dollar
Teen Spirit;10/21/1978;226;Sci-Fi;Maryrose Wiffler;Yanaton Hacking;Kannada;China;NC-17;717511711;Yuan Renminbi
North Shore;08.12.2000;229;Thriller;Glenna Lechmere;Rriocard Cicullo;Papiamento;United States;R;78008644;Dollar
Cost of Oil: Voices from the Arctic, The;8/22/1928;211;Sci-Fi;Tera La Rosa;Henrik Skelhorn;Haitian Creole;Chile;G;169074783;Peso
Boy A;06.01.1964;210;Drama;Hilly MacCostigan;Kally Pont;Macedonian;Democratic Republic of the Congo;G;258338418;Franc
Ironclad 2: Battle for Blood;12/30/1971;210;Horror;Bendix Sealand;Yovonnda Botly;Hebrew;China;G;295970492;Yuan Renminbi
Beautiful Troublemaker, The (La belle noiseuse);8/25/1907;196;Sci-Fi;Lynea Banks;Elene Latey;Hungarian;Egypt;R;427918227;Pound
Tiresia;5/17/1984;78;Sci-Fi;Leonore Langham;Duky Jeness;Tok Pisin;Philippines;R;266429627;Peso
Immediate Family;07.06.1929;89;Action;Heidi Hartland;Hermia Lowensohn;Guaraní;Finland;NC-17;79674869;Euro
Raven, The;9/22/2005;156;Action;Juana Houndsom;Arden Piola;French;Macedonia;PG;107201485;Denar
Last September, The;11.04.1940;74;Drama;Clemmie Lasselle;Cornie Ouldred;Latvian;Portugal;PG;973129890;Euro
Paperhouse;05.01.1958;96;Thriller;Bryana Duncklee;Rooney Rays;Hindi;Colombia;G;286170373;Peso
Sachs' Disease (La maladie de Sachs);12/21/1905;202;Horror;Leandra McInnerny;Pieter Sprakes;Croatian;Poland;PG-13;44341101;Zloty
Nobody Knows Anybody (Nadie conoce a nadie);01.05.1929;109;Drama;Brit O'Reagan;Alameda Faucherand;Afrikaans;Indonesia;G;512726613;Rupiah
East is East;9/16/1948;176;Romance;Jacenta Gobel;Russell Twitchett;Latvian;Brazil;NC-17;740203634;Real
Murder on a Honeymoon;10/22/1998;90;Sci-Fi;Teddie Henstridge;Eartha Djordjevic;Luxembourgish;France;PG-13;164647675;Euro
He Ran All the Way;7/30/1962;203;Sci-Fi;Hillery Jirka;Alysa Minihan;Dutch;China;PG;474121664;Yuan Renminbi
Stardom;12.01.1917;145;Action;Wilie Dwelley;Lucio Thurber;Papiamento;China;R;533072237;Yuan Renminbi
MVP: Most Valuable Primate;05.03.1948;204;Horror;Haze Skechley;Clarice Lardeur;Italian;Brazil;PG-13;82352491;Real
I See a Dark Stranger;03.05.1923;178;Horror;Roselin Cuncliffe;Wilma Seide;Tok Pisin;Indonesia;R;143815878;Rupiah
Shopping;12/16/1928;112;Comedy;Doralin Gobel;Sigismond Elward;Hebrew;China;NC-17;41046786;Yuan Renminbi
The Overnight;10/13/1910;204;Drama;Didi Renon;Rolf Gabbatiss;Gujarati;Russia;NC-17;717082701;Ruble
Murphy's Law;3/29/1979;79;Thriller;Mickie McEntee;Rouvin Tour;Marathi;Indonesia;PG;862373505;Rupiah
Someone Like You;1/18/1914;196;Horror;Betti Colton;Madonna Varlow;Dutch;China;NC-17;803027180;Yuan Renminbi
Silence Before Bach, The (Die Stille vor Bach) ;7/18/2013;60;Comedy;Quillan Tewkesbury.;Jamill Mannix;Maltese;Albania;R;607797656;Lek
George and the Dragon;11.02.1996;230;Romance;Damara Abelov;Klaus Bosomworth;Swahili;Russia;NC-17;614738740;Ruble
Mr Bones 2: Back from the Past;12/21/2010;232;Sci-Fi;Georgette Daffey;Ingeberg Millins;English;Japan;R;578704573;Yen
Unintentional Kidnapping of Mrs. Elfriede Ott, The (Die Unabsichtliche Entführung der Frau Elfriede Ott);09.11.2015;216;Thriller;Thaddeus Porson;Latia Dei;Macedonian;Finland;PG-13;965460663;Euro
Double Impact;5/14/1961;196;Horror;Godfree Kubis;Claudelle Grover;Tetum;Russia;R;850084700;Ruble
Police Python 357;5/27/1906;164;Comedy;Siouxie Cowope;Aubert Juris;Macedonian;China;PG;185023444;Yuan Renminbi
Pink Flamingos;1/29/1945;137;Sci-Fi;Bambie Bradlaugh;Karrah Zecchetti;Albanian;Indonesia;PG;847248628;Rupiah
Dillinger and Capone;12.05.1918;86;Horror;Moishe Wickling;Jamie Pappin;Nepali;China;PG-13;212109861;Yuan Renminbi
After Hours;07.03.1952;76;Horror;Benjy Fewster;Danya McGrirl;Bulgarian;Argentina;R;589381082;Peso
Shadows (Senki);2/14/1925;115;Romance;Cari Delos;Janelle Krugmann;Italian;Ireland;G;105670018;Euro
People vs. Larry Flynt, The;08.12.1951;161;Action;Glennis Metham;Albert Nortunen;Japanese;Portugal;NC-17;142687352;Euro
Snow (Snijeg);12/19/1914;104;Action;Maribelle Grinishin;Scarface Jolliff;Georgian;Russia;G;387042816;Ruble
Something New;6/26/1998;105;Comedy;Corena Matterson;Fallon Shoesmith;Albanian;China;G;86563799;Yuan Renminbi
Dumplings (Gaau ji);8/30/2002;216;Action;Kalinda Danbi;Melania Strewthers;Afrikaans;United States;NC-17;334245256;Dollar
Summer in Berlin (Sommer vorm Balkon);5/29/2022;204;Action;Aleksandr Ollie;Lawrence Spalls;Haitian Creole;Portugal;NC-17;881256046;Euro
The (Dead Mothers) Club;6/21/1962;154;Action;Pauly Bloxland;Ric Quinnell;Quechua;Philippines;PG;858563392;Peso
Gui Si (Silk);08.11.1903;89;Comedy;Stefania Byram;Ronald Oswell;Macedonian;Poland;PG-13;483718164;Zloty
Doctor Bull;10/31/1913;192;Comedy;Agnes People;Katya Pabst;Tswana;China;NC-17;588718048;Yuan Renminbi
Delphine 1, Yvan 0;12/29/1998;235;Horror;Winnifred Row;Vanya Akram;Dari;Latvia;PG-13;133760859;Euro
Unfaithful;12.12.2001;207;Romance;Viviene Daughtery;Kacey Farady;Portuguese;China;PG-13;617079042;Yuan Renminbi
War of the Gargantuas, The (Furankenshutain no kaijû: Sanda tai Gaira);01.09.1986;128;Sci-Fi;Trudie Omond;Natale Neachell;Tamil;China;PG;400045157;Yuan Renminbi
Night of the Lepus;11.04.2003;152;Romance;Yolanthe Jodrelle;Wallis Menhci;Haitian Creole;Indonesia;PG-13;176364338;Rupiah
Path to War;5/15/1967;66;Drama;Clevie Ronaghan;Lucretia Melledy;Ndebele;Finland;PG-13;671950425;Euro
Tuck Everlasting;1/24/1957;159;Sci-Fi;Leena Firebrace;Rurik Fredson;Telugu;China;G;916603950;Yuan Renminbi
Song to Remember, A;12/19/1971;138;Action;Lusa Elleray;Margarita Mudge;Spanish;Poland;PG-13;335333359;Zloty
Horse Whisperer, The;9/20/2020;228;Sci-Fi;Darya Clemes;Lelia Loosley;Bengali;China;PG;344607271;Yuan Renminbi
Blue Sunshine;1/21/1983;167;Sci-Fi;Mitchell Kleinert;Wendi Van Merwe;Greek;Thailand;R;352217799;Baht
Executioners (Xian dai hao xia zhuan);02.06.1992;105;Romance;Ernesto Goede;Chevy Silvers;Tsonga;Cyprus;PG;607983609;Euro
Chasing Beauty;4/29/1957;159;Romance;Olivie Glassman;Merwin Trow;Hiri Motu;Palestinian Territory;PG-13;392193863;Shekel
Premature Burial, The;3/17/2022;232;Romance;Jason Watsam;Lizzie Lujan;Polish;Croatia;NC-17;105224795;Kuna
Home of Dark Butterflies, The (Tummien perhosten koti);11.08.1960;115;Action;Sutton Billie;Normy Byers;Nepali;Poland;G;229187012;Zloty
Jimmy Carter Man from Plains;5/28/1966;132;Horror;Sherye Blyde;Huntlee Otley;Gagauz;Sweden;R;37384413;Krona
Breakdown;02.08.2005;63;Action;Benedicta Flowerdew;Guthry Bolstridge;Dhivehi;Canada;PG-13;6934372;Dollar
Soupe aux Choux, La;12/14/1904;233;Comedy;Jessalyn Pow;Celestyna Malinson;Spanish;Portugal;PG;859872580;Euro
Susan Slept Here;03.02.2010;114;Sci-Fi;Katleen Dumbell;Fan Aberhart;Tsonga;Costa Rica;PG;17488959;Colon
Toxic Avenger, The;8/17/1909;197;Action;Jere Ricardou;Winifield Rentelll;German;Lithuania;NC-17;468987600;Litas
Comedy of Power (Ivresse du pouvoir, L');7/20/1909;151;Action;Mureil Suston;Jemmy Kobel;English;Peru;PG-13;395017931;Sol
Mr. Sardonicus;02.05.1981;99;Action;Joanie Chester;Collete Swyn;Ndebele;Indonesia;PG;864621779;Rupiah
Alias the Doctor;12/18/1955;194;Drama;Blanca Di Bernardo;Justino O'Donegan;Gagauz;United States;R;49618654;Dollar
47 Ronin, The (Genroku Chûshingura);6/24/1960;133;Drama;Silvanus Venediktov;Griffy Hanwright;Lithuanian;China;R;718577757;Yuan Renminbi
Harakiri (Seppuku);09.05.1918;123;Comedy;Nicholas Mixer;Agneta Douthwaite;Assamese;Indonesia;PG;773447217;Rupiah
And Now a Word from Our Sponsor;02.09.1969;159;Drama;Vaclav Kobpac;Hanni Shrimpling;Tok Pisin;Lithuania;PG-13;887947436;Litas
Beau Brummel;1/29/1972;136;Comedy;Tamera Rallinshaw;Townie Hefferan;Irish Gaelic;Croatia;PG;884758788;Kuna
Yella;10.08.2005;84;Sci-Fi;Janella Kittle;Corine Romain;Oriya;China;R;808862400;Yuan Renminbi
Littlerock;10/13/1968;77;Thriller;Madelyn Maslin;Hoyt Roussell;Chinese;Kazakhstan;NC-17;115145939;Tenge
West Beirut (West Beyrouth);7/23/2009;200;Thriller;Felicdad Buxsy;Whitman Figiovanni;Lithuanian;Russia;R;387644657;Ruble
In the Shadow of Doubt (Epäilyksen varjossa);12/19/2021;163;Romance;Amalita Stare;Isis Robins;Kurdish;China;R;443805716;Yuan Renminbi
Zona Zamfirova;8/20/1902;227;Romance;Nicko Brandin;Harwell Markham;Papiamento;Croatia;NC-17;76474743;Kuna
Witches' Hammer (Kladivo na carodejnice) ;08.07.1924;77;Comedy;Rayner Broadbent;Nahum Croxley;Czech;Brazil;NC-17;840274455;Real
Predictions of Fire (Prerokbe Ognja);10/23/1985;207;Action;Nettie Bradforth;Lester Garms;Malay;United States;PG-13;325412110;Dollar
Blind Faith;03.02.1984;185;Action;Marie-ann Hopewell;Misha Rymell;Czech;China;PG;352319484;Yuan Renminbi
Go for Broke!;05.03.1952;164;Romance;Bale Dewes;Ysabel Axelbey;Kannada;Sweden;R;374110255;Krona
Love's Enduring Promise;04.08.1903;107;Sci-Fi;Eb Earpe;Isidor Selcraig;Dari;Czech Republic;G;388300907;Koruna
Bench, The (Bænken);12/19/1916;169;Comedy;Kettie Richel;Finn Radley;Japanese;Philippines;PG-13;174157448;Peso
Dreamers, The;03.09.2005;168;Thriller;Tabbie Muckley;Gregoire Fetherstone;Tswana;China;PG;421782617;Yuan Renminbi
Governess, The;04.06.2004;61;Horror;Jackqueline Mayhou;Tess Patry;Albanian;Thailand;G;398595684;Baht
Dragon Day;3/14/1991;148;Drama;Juanita Peyro;Ami Burt;Croatian;Finland;NC-17;986963390;Euro
I'm Starting From Three (Ricomincio da Tre);6/17/1980;78;Romance;Harman Villaron;Burgess Carcas;Swahili;Sri Lanka;PG-13;166765716;Rupee
Little Criminals;9/25/1929;138;Action;Brennen Jaray;Jolene Spottswood;Lao;Indonesia;G;837660127;Rupiah
Paul;02.08.1917;180;Sci-Fi;Gian Clemon;Halimeda Debnam;Gagauz;Cuba;PG-13;529584856;Peso
Smiley's People;3/14/1986;75;Romance;Wenda Ryburn;Carmelina Kightly;Haitian Creole;South Korea;PG-13;730790115;Won
Conversations with Other Women;10/22/2004;219;Horror;Joye Maraga;Lucas Vasyunichev;Sotho;Philippines;R;697582502;Peso
Satan Bug, The;11.03.1949;112;Drama;Nerta Clinning;Linzy Olligan;Armenian;Indonesia;PG-13;947542023;Rupiah
Love Meetings (Comizi d'amore);09.10.2003;198;Drama;Land Duckerin;Griffin Spritt;Dzongkha;Poland;NC-17;411974698;Zloty
Maiden's Cheek (To xylo vgike apo ton Paradeiso);2/25/1958;155;Sci-Fi;Nara Farlham;Danni Iwanowicz;Amharic;Uganda;NC-17;17467457;Shilling
Cinderella Story, A;11/28/1947;82;Romance;Llewellyn Wheatman;Gene Soppett;Afrikaans;French Polynesia;PG;285285929;Franc
Trinity and Beyond;5/24/1972;211;Action;Misti Spirit;Allina Whitland;Aymara;Ecuador;G;617553940;Dollar
Shaft, The (a.k.a. Down);6/25/2003;232;Drama;Graham Pentony;Joaquin Sivills;Gagauz;Sweden;PG;316864466;Krona
Rentun Ruusu;4/26/2004;108;Comedy;Siouxie Martellini;Carleton Gatheridge;Swati;Brazil;NC-17;553098149;Real
Always for Pleasure;1/27/2010;150;Horror;Matthias Darville;Crissie Blackbourn;German;Sweden;PG-13;972752782;Krona
Eden;12/14/2009;213;Sci-Fi;Moira Swinbourne;Cornie Tarrier;Tajik;Poland;R;648087361;Zloty
Story of Esther Costello, The;12.01.2014;68;Romance;Aaron Dranfield;Dee Mosedill;Maltese;Sweden;PG;684316875;Krona
Oliver Twist;3/18/1903;110;Romance;Malissa Beeze;Yolande Locard;Bengali;Sweden;NC-17;828617724;Krona
Trip, The;5/30/2003;188;Thriller;Dru Lodovichi;Reggie Carcas;New Zealand Sign Language;Malaysia;PG;213620984;Ringgit
Accepted;4/27/2003;71;Thriller;Andie Chalker;Elberta Stode;German;China;R;547374530;Yuan Renminbi
Lenny;06.09.1952;117;Horror;Jakob Macari;Eunice Langton;Portuguese;Tunisia;PG;45604235;Dinar
Ennui, L';08.08.2010;142;Romance;Eduardo Bront;Maude Rogerot;Zulu;Indonesia;PG;994705762;Rupiah
Young Mr. Lincoln;10.09.1945;150;Action;Beitris Revelle;Reyna Eusden;Haitian Creole;Palestinian Territory;G;199127958;Shekel
One Hundred Mornings;9/19/1917;99;Romance;Etan Beston;Britt MacPike;Kyrgyz;Russia;PG-13;210007448;Ruble
Tyler Perry's Madea's Big Happy Family;4/30/1950;228;Sci-Fi;Klarika Sergeaunt;Leila Waywell;Zulu;Morocco;G;665765603
Julian Po;06.12.1935;230;Horror;Alberta Jellis;Odilia Krale;West Frisian;China;NC-17;847001839;Yuan Renminbi
Return, The (Vozvrashcheniye);1/30/1947;200;Romance;Farleigh Rubinsztein;Shir Plackstone;Northern Sotho;Ethiopia;PG-13;199811145;Birr
Live Wire;02.05.2019;210;Sci-Fi;Jerrie Bryenton;Temple Van Zon;Belarusian;Chile;NC-17;291074880;Peso
800 Bullets (800 Balas);3/22/1980;177;Thriller;Lindsay Hairsnape;Tremaine Cammidge;Assamese;China;R;196296740;Yuan Renminbi
Girlfriend Experience, The;1/27/1964;215;Thriller;Karee Gercken;Lorena Harrell;Lao;Pakistan;G;397061051;Rupee
