dog_name=|=dog_breed=|=event_datetime=|=active=|=gender=|=sales=|=foodname=|=brand
Tiger snake=|=German Shepherd=|=2020-11-24T22:14:21Z=|=false=|=Male=|=578=|=Appetizer - Mushroom Tart=|=Sznippers
Racer, blue=|=Rottweiler=|=2021-03-01T22:48:03Z=|=true=|=Male=|=837=|=Bols Melon Liqueur=|=Kumciaczkos
Pale white-eye=|=German Shepherd=|=2022-02-26T11:57:33Z=|=false=|=Female=|=1960=|=Lamb - Pieces, Diced=|=Holoubek Corp
Wambenger, red-tailed=|=Siberian Husky=|=2021-12-21T09:42:00Z=|=false=|=Female=|=365=|=Appetiser - Bought=|=Kloburg
Plains zebra=|=Beagle=|=2021-11-28T07:12:19Z=|=false=|=Male=|=1444=|=Sprouts - Brussel=|=Kloburg
Jaguar=|=Beagle=|=2020-10-29T22:22:56Z=|=false=|=Male=|=1125=|=Wiberg Cure=|=Sznippers
Black-throated cardinal=|=Boxer=|=2020-11-22T13:12:04Z=|=true=|=Female=|=774=|=Spoon - Soup, Plastic=|=Holoubek Corp
Miner's cat=|=Labrador Retriever=|=2021-02-21T19:23:42Z=|=false=|=Genderqueer=|=1553=|=Soup - Campbells Chicken=|=Miautex
Giant otter=|=Boxer=|=2020-12-03T14:12:11Z=|=false=|=Female=|=1323=|=Appetiser - Bought=|=Kloburg
Hawk, galapagos=|=Rottweiler=|=2021-01-02T13:29:13Z=|=false=|=Male=|=1367=|=7up Diet, 355 Ml=|=Holoubek Corp
Buffalo, american=|=Bulldog=|=2021-09-10T12:20:01Z=|=false=|=Male=|=1826=|=Muffin Puck Ww Carrot=|=Kumciaczkos
Currasow (unidentified)=|=Golden Retriever=|=2022-12-18T06:24:49Z=|=true=|=Female=|=113=|=Snapple Lemon Tea=|=Witold's and Jerzy's
Southern screamer=|=Boxer=|=2022-10-01T12:45:23Z=|=false=|=Male=|=943=|=Beef - Chuck, Boneless=|=Kumciaczkos
Seal, northern elephant=|=Dachshund=|=2023-02-27T05:57:43Z=|=false=|=Male=|=605=|=Ham - Black Forest=|=Holoubek Corp
European stork=|=Golden Retriever=|=2022-08-25T21:51:56Z=|=false=|=Male=|=457=|=Cardamon Ground=|=Holoubek Corp
Australian spiny anteater=|=Bulldog=|=2023-01-19T19:43:44Z=|=false=|=Female=|=207=|=Peas Snow=|=Sznippers
Seal, harbor=|=Boxer=|=2023-03-26T06:39:06Z=|=false=|=Female=|=743=|=Turkey - Breast, Smoked=|=Xen
Blue catfish=|=Boxer=|=2022-10-29T14:46:32Z=|=false=|=Male=|=1038=|=Wine - Red, Black Opal Shiraz=|=Xen
Violet-crested turaco=|=Golden Retriever=|=2022-03-31T20:54:01Z=|=true=|=Male=|=1453=|=Green Scrubbie Pad H.duty=|=Holoubek Corp
Laughing dove=|=Labrador Retriever=|=2022-07-16T00:00:30Z=|=true=|=Female=|=1863=|=Tendrils - Baby Pea, Organic=|=Holoubek Corp
Small-clawed otter=|=Golden Retriever=|=2021-08-09T11:01:24Z=|=true=|=Male=|=1091=|=Carbonated Water - Raspberry=|=Sznippers
Kite, black=|=Siberian Husky=|=2021-12-04T22:40:11Z=|=false=|=Female=|=1682=|=Wine - Chenin Blanc K.w.v.=|=Miautex
Heron, little=|=Poodle=|=2021-01-03T09:05:27Z=|=true=|=Female=|=402=|=Pepper - Black, Ground=|=Sznippers
Openbill, asian=|=Siberian Husky=|=2020-09-27T23:50:47Z=|=true=|=Female=|=311=|=Butter Balls Salted=|=Sznippers
Eagle, bateleur=|=Rottweiler=|=2021-02-21T14:43:09Z=|=true=|=Male=|=1705=|=Beans - Black Bean, Preserved=|=Sznippers
Small-spotted genet=|=Siberian Husky=|=2022-03-16T05:31:32Z=|=false=|=Female=|=873=|=Beer - Sleemans Honey Brown=|=Holoubek Corp
White-winged black tern=|=Bulldog=|=2020-05-15T06:58:03Z=|=true=|=Female=|=748=|=Spring Roll Wrappers=|=Witold's and Jerzy's
Deer, savannah=|=Beagle=|=2022-01-15T22:13:13Z=|=false=|=Female=|=1376=|=Orange Roughy 6/8 Oz=|=Kloburg
Sheep, red=|=Siberian Husky=|=2023-02-24T13:50:40Z=|=false=|=Female=|=724=|=Jolt Cola - Red Eye=|=Sznippers
Weaver, lesser masked=|=Golden Retriever=|=2022-08-12T03:15:26Z=|=true=|=Non-binary=|=1460=|=Soup Bowl Clear 8oz92008=|=Witold's and Jerzy's
Blue-breasted cordon bleu=|=Bulldog=|=2021-08-09T21:06:11Z=|=false=|=Female=|=1268=|=Glucose=|=Witold's and Jerzy's
Blue duck=|=Golden Retriever=|=2021-09-14T07:25:45Z=|=false=|=Male=|=243=|=Tea - Jasmin Green=|=Xen
Squirrel, uinta ground=|=Siberian Husky=|=2020-05-10T03:04:14Z=|=true=|=Male=|=1895=|=Trout - Smoked=|=Witold's and Jerzy's
Leadbeateri's ground hornbill=|=Poodle=|=2021-09-27T05:21:45Z=|=false=|=Female=|=1812=|=Napkin - Cocktail,beige 2 - Ply=|=Kloburg
Northern fur seal=|=Beagle=|=2022-08-25T11:56:52Z=|=true=|=Female=|=1595=|=Wine - Fontanafredda Barolo=|=Holoubek Corp
Eagle, crowned=|=Golden Retriever=|=2020-07-02T23:38:51Z=|=true=|=Male=|=1431=|=Sobe - Lizard Fuel=|=Holoubek Corp
Blacksmith plover=|=Siberian Husky=|=2020-12-28T14:37:45Z=|=false=|=Male=|=1277=|=Lamb - Shanks=|=Kumciaczkos
Ring-tailed gecko=|=Labrador Retriever=|=2023-05-16T09:09:08Z=|=true=|=Male=|=410=|=Wine - Coteaux Du Tricastin Ac=|=Witold's and Jerzy's
Turtle, eastern box=|=Boxer=|=2023-04-17T08:52:07Z=|=true=|=Female=|=667=|=Cranberry Foccacia=|=Kloburg
Cockatoo, red-breasted=|=Labrador Retriever=|=2020-12-25T20:34:57Z=|=false=|=Male=|=881=|=Grapes - Red=|=Witold's and Jerzy's
Hornbill, southern ground=|=Rottweiler=|=2023-04-11T05:15:14Z=|=false=|=Male=|=456=|=Wine - Red, Mouton Cadet=|=Witold's and Jerzy's
Tortoise, asian foreset=|=Poodle=|=2022-12-03T18:26:35Z=|=false=|=Female=|=1659=|=Sauce - Sesame Thai Dressing=|=Miautex
Dassie=|=Golden Retriever=|=2022-07-01T12:06:26Z=|=true=|=Female=|=1723=|=Island Oasis - Sweet And Sour Mix=|=Holoubek Corp
Striated heron=|=Dachshund=|=2021-12-13T05:49:45Z=|=false=|=Male=|=209=|=Seaweed Green Sheets=|=Holoubek Corp
Spotted wood sandpiper=|=Siberian Husky=|=2020-11-13T21:28:19Z=|=false=|=Female=|=236=|=Tomatoes=|=Sznippers
Wolf, timber=|=Siberian Husky=|=2021-07-04T01:15:22Z=|=false=|=Female=|=1761=|=Cleaner - Pine Sol=|=Witold's and Jerzy's
Neotropic cormorant=|=Rottweiler=|=2022-06-11T13:55:54Z=|=false=|=Male=|=1099=|=Tofu - Firm=|=Kumciaczkos
Lynx, african=|=Golden Retriever=|=2020-05-11T14:06:10Z=|=true=|=Female=|=1365=|=Beer - Moosehead=|=Kloburg
Old world fruit bat (unidentified)=|=Bulldog=|=2021-05-07T00:35:07Z=|=false=|=Male=|=911=|=Napkin White - Starched=|=Holoubek Corp
Red squirrel=|=Poodle=|=2020-08-16T01:52:39Z=|=false=|=Female=|=619=|=Lid - 10,12,16 Oz=|=Miautex
Brown capuchin=|=Boxer=|=2023-03-02T19:53:22Z=|=false=|=Female=|=1953=|=Dried Cherries=|=Kloburg
Glider, sugar=|=Boxer=|=2021-11-05T18:05:51Z=|=true=|=Male=|=1718=|=Pie Shell - 9=|=Xen
Currasow (unidentified)=|=Rottweiler=|=2020-10-07T07:37:00Z=|=true=|=Female=|=568=|=Eggplant Italian=|=Kloburg
Bee-eater (unidentified)=|=Siberian Husky=|=2020-10-11T23:45:28Z=|=true=|=Female=|=1955=|=Poppy Seed=|=Sznippers
Bustard, stanley=|=German Shepherd=|=2022-11-27T03:44:31Z=|=true=|=Female=|=1530=|=Squid - U - 10 Thailand=|=Holoubek Corp
Otter, oriental short-clawed=|=Beagle=|=2020-10-30T08:28:05Z=|=true=|=Female=|=857=|=Sun - Dried Tomatoes=|=Holoubek Corp
Wallaby, bennett's=|=Poodle=|=2020-12-19T12:40:50Z=|=true=|=Female=|=543=|=Bar - Granola Trail Mix Fruit Nut=|=Miautex
Buffalo, african=|=Rottweiler=|=2021-06-17T19:10:49Z=|=false=|=Female=|=1163=|=Cake Circle, Paprus=|=Xen
Bird, magnificent frigate=|=Labrador Retriever=|=2021-01-03T14:32:10Z=|=true=|=Female=|=938=|=Wine - Chateau Aqueria Tavel=|=Miautex
Monster, gila=|=Bulldog=|=2022-05-17T13:13:36Z=|=false=|=Female=|=497=|=Apple - Northern Spy=|=Witold's and Jerzy's
Red-necked phalarope=|=Rottweiler=|=2020-05-09T03:50:28Z=|=true=|=Male=|=1643=|=Salami - Genova=|=Kloburg
Raven, white-necked=|=Labrador Retriever=|=2020-05-29T05:44:55Z=|=true=|=Female=|=484=|=Pork - Ham Hocks - Smoked=|=Miautex
Roan antelope=|=Labrador Retriever=|=2020-10-09T06:39:06Z=|=true=|=Female=|=436=|=Mountain Dew=|=Sznippers
Brown antechinus=|=Siberian Husky=|=2022-08-27T03:40:03Z=|=false=|=Female=|=1010=|=Wiberg Cure=|=Sznippers
Blackish oystercatcher=|=Golden Retriever=|=2022-01-04T07:37:57Z=|=false=|=Genderfluid=|=820=|=Tart - Butter Plain Squares=|=Witold's and Jerzy's
Grey lourie=|=German Shepherd=|=2021-08-25T23:07:41Z=|=false=|=Male=|=1421=|=Mahi Mahi=|=Xen
Lappet-faced vulture=|=Golden Retriever=|=2022-05-08T23:27:48Z=|=true=|=Male=|=1378=|=Buffalo - Striploin=|=Kumciaczkos
Little heron=|=Rottweiler=|=2022-07-23T07:05:55Z=|=true=|=Female=|=1785=|=Pasta - Spaghetti, Dry=|=Miautex
Common dolphin=|=German Shepherd=|=2020-05-01T14:05:17Z=|=true=|=Female=|=628=|=Oil - Olive=|=Xen
Cockatoo, roseate=|=Labrador Retriever=|=2021-12-07T12:22:05Z=|=false=|=Male=|=1045=|=Ice Cream - Turtles Stick Bar=|=Kloburg
White-rumped vulture=|=Beagle=|=2021-09-20T10:37:24Z=|=false=|=Male=|=326=|=Juice - Pineapple, 48 Oz=|=Holoubek Corp
Black curlew=|=Boxer=|=2021-11-21T15:10:00Z=|=true=|=Genderfluid=|=1807=|=Sherbet - Raspberry=|=Sznippers
Vulture, oriental white-backed=|=Dachshund=|=2021-07-16T17:33:34Z=|=true=|=Male=|=1168=|=Beer - Muskoka Cream Ale=|=Witold's and Jerzy's
Arboral spiny rat=|=Rottweiler=|=2022-06-20T05:28:19Z=|=false=|=Male=|=1474=|=Wine - Periguita Fonseca=|=Xen
Red brocket=|=German Shepherd=|=2020-05-19T00:27:05Z=|=false=|=Male=|=905=|=Tea - Camomele=|=Witold's and Jerzy's
Red deer=|=Boxer=|=2022-06-21T01:32:11Z=|=true=|=Male=|=1525=|=Carbonated Water - Blackcherry=|=Miautex
Dog, bush=|=Beagle=|=2022-08-08T21:56:04Z=|=false=|=Female=|=853=|=Paste - Black Olive=|=Xen
Banded mongoose=|=Rottweiler=|=2022-09-12T22:06:07Z=|=false=|=Male=|=1292=|=Puff Pastry - Slab=|=Kumciaczkos
Tern, white-winged=|=Beagle=|=2022-10-20T00:27:15Z=|=true=|=Male=|=427=|=Mushrooms - Black, Dried=|=Miautex
Wolf, timber=|=Siberian Husky=|=2021-06-30T17:34:07Z=|=true=|=Male=|=1411=|=Lamb Rack - Ontario=|=Kloburg
Penguin, little blue=|=Poodle=|=2022-05-01T13:37:35Z=|=true=|=Male=|=1802=|=Water - Spring Water 500ml=|=Xen
Short-nosed bandicoot=|=German Shepherd=|=2022-03-14T19:43:16Z=|=false=|=Male=|=1012=|=Thyme - Lemon, Fresh=|=Witold's and Jerzy's
Yellow-brown sungazer=|=Poodle=|=2022-09-15T21:02:56Z=|=false=|=Female=|=214=|=Chicken - White Meat, No Tender=|=Kloburg
Horned lark=|=Siberian Husky=|=2020-04-10T16:29:49Z=|=true=|=Male=|=1708=|=Mayonnaise - Individual Pkg=|=Kumciaczkos
Gull, southern black-backed=|=Poodle=|=2021-12-17T10:46:49Z=|=false=|=Female=|=206=|=Breakfast Quesadillas=|=Xen
Bulbul, black-eyed=|=Dachshund=|=2021-08-05T15:35:10Z=|=false=|=Female=|=1994=|=Lamb - Whole Head Off,nz=|=Sznippers
Heron, boat-billed=|=German Shepherd=|=2021-06-02T13:48:59Z=|=true=|=Female=|=512=|=Coffee - Beans, Whole=|=Miautex
Native cat=|=Dachshund=|=2021-05-30T00:20:30Z=|=true=|=Female=|=1636=|=Jolt Cola - Electric Blue=|=Kloburg
White stork=|=Labrador Retriever=|=2021-08-10T23:46:04Z=|=true=|=Male=|=479=|=Capon - Breast, Double, Wing On=|=Kloburg
Small-spotted genet=|=Beagle=|=2020-09-18T09:00:02Z=|=true=|=Male=|=1672=|=Table Cloth 81x81 Colour=|=Sznippers
Starling, greater blue-eared=|=Beagle=|=2021-06-02T00:22:24Z=|=true=|=Male=|=1300=|=Vinegar - Balsamic=|=Xen
Owl, great horned=|=Boxer=|=2020-08-20T23:49:37Z=|=false=|=Male=|=156=|=Shiro Miso=|=Holoubek Corp
Long-billed cockatoo=|=Boxer=|=2023-02-12T06:59:07Z=|=true=|=Male=|=576=|=Onion Powder=|=Sznippers
Wolf, mexican=|=Siberian Husky=|=2021-09-11T06:12:22Z=|=false=|=Male=|=449=|=Wine - Dubouef Macon - Villages=|=Sznippers
Devil, tasmanian=|=Labrador Retriever=|=2022-03-17T20:54:33Z=|=true=|=Female=|=577=|=Ham - Cooked Italian=|=Xen
Peccary, collared=|=German Shepherd=|=2021-09-04T16:53:41Z=|=false=|=Female=|=1393=|=Coffee - Ristretto Coffee Capsule=|=Xen
Leopard, indian=|=Dachshund=|=2022-11-07T10:27:07Z=|=false=|=Bigender=|=105=|=Vinegar - White Wine=|=Holoubek Corp
Galapagos hawk=|=Rottweiler=|=2023-01-06T11:59:19Z=|=false=|=Female=|=204=|=Bread - Rolls, Corn=|=Kumciaczkos
Lapwing (unidentified)=|=German Shepherd=|=2023-03-07T01:39:28Z=|=false=|=Female=|=245=|=Chicken - Bones=|=Kloburg
Rhea, common=|=Golden Retriever=|=2022-10-28T07:22:52Z=|=true=|=Genderfluid=|=490=|=Onions - Dried, Chopped=|=Holoubek Corp
Arctic hare=|=Bulldog=|=2021-12-26T09:14:48Z=|=true=|=Male=|=570=|=Horseradish Root=|=Miautex
Indian jackal=|=Golden Retriever=|=2021-12-04T23:34:20Z=|=false=|=Male=|=794=|=Carbonated Water - Raspberry=|=Kloburg
Fisher=|=Dachshund=|=2021-07-14T02:24:59Z=|=true=|=Male=|=745=|=Wine - Chenin Blanc K.w.v.=|=Kumciaczkos
Puffin, horned=|=Beagle=|=2023-03-30T09:58:53Z=|=true=|=Female=|=764=|=Onions - Green=|=Sznippers
Kori bustard=|=Boxer=|=2023-05-10T06:37:57Z=|=true=|=Male=|=126=|=Juice - Clamato, 341 Ml=|=Kloburg
Cat, kaffir=|=Poodle=|=2022-05-31T04:20:05Z=|=true=|=Female=|=1333=|=Wine - Stoneliegh Sauvignon=|=Sznippers
Indian giant squirrel=|=Poodle=|=2022-01-06T09:09:01Z=|=false=|=Male=|=1410=|=Cheese - Wine=|=Xen
Possum, western pygmy=|=Poodle=|=2021-10-02T12:20:36Z=|=false=|=Male=|=349=|=Raspberries - Frozen=|=Sznippers
Grey phalarope=|=Boxer=|=2022-05-15T18:49:08Z=|=false=|=Female=|=1307=|=Compound - Raspberry=|=Xen
American bighorn sheep=|=Beagle=|=2020-08-20T04:02:29Z=|=true=|=Genderqueer=|=1789=|=Ham - Cooked Bayonne Tinned=|=Miautex
Otter, north american river=|=German Shepherd=|=2021-08-14T05:04:41Z=|=true=|=Male=|=1578=|=Bread - Roll, Canadian Dinner=|=Kumciaczkos
Horned rattlesnake=|=Boxer=|=2021-11-14T18:40:29Z=|=true=|=Female=|=1004=|=Peas - Frozen=|=Kloburg
Corella, long-billed=|=Dachshund=|=2021-04-25T05:36:29Z=|=false=|=Male=|=1768=|=Cheese - Cream Cheese=|=Miautex
Pigeon, wood=|=Beagle=|=2022-01-05T07:43:24Z=|=true=|=Genderqueer=|=1996=|=Allspice - Jamaican=|=Kloburg
Eastern boa constrictor=|=Golden Retriever=|=2020-09-16T03:09:02Z=|=true=|=Female=|=183=|=Corn Kernels - Frozen=|=Witold's and Jerzy's
Duck, mountain=|=Golden Retriever=|=2021-02-16T09:22:09Z=|=false=|=Male=|=1819=|=Muffin Chocolate Individual Wrap=|=Miautex
Gull, swallow-tail=|=Bulldog=|=2020-04-21T09:59:18Z=|=true=|=Agender=|=634=|=Oysters - Smoked=|=Witold's and Jerzy's
Silver-backed jackal=|=Siberian Husky=|=2022-02-03T00:05:56Z=|=true=|=Female=|=489=|=Stock - Beef, White=|=Witold's and Jerzy's
Cobra, cape=|=Rottweiler=|=2021-03-10T01:22:02Z=|=true=|=Male=|=739=|=Pepsi - Diet, 355 Ml=|=Kumciaczkos
Leopard=|=Rottweiler=|=2023-05-18T03:54:44Z=|=false=|=Female=|=1642=|=Water, Tap=|=Kloburg
Cormorant (unidentified)=|=Beagle=|=2023-04-16T22:49:55Z=|=true=|=Male=|=810=|=Sponge Cake Mix - Vanilla=|=Holoubek Corp
Water legaan=|=Siberian Husky=|=2022-11-14T08:06:54Z=|=true=|=Male=|=142=|=Monkfish Fresh - Skin Off=|=Xen
Lemur, lesser mouse=|=Beagle=|=2022-04-08T23:46:46Z=|=false=|=Male=|=1825=|=Mountain Dew=|=Miautex
Owl, snowy=|=Dachshund=|=2021-08-09T00:48:50Z=|=false=|=Non-binary=|=1049=|=Truffle - Peelings=|=Kumciaczkos
Ground legaan=|=German Shepherd=|=2022-06-09T18:55:21Z=|=false=|=Male=|=282=|=Versatainer Nc - 9388=|=Kumciaczkos
Hyena, brown=|=Boxer=|=2021-05-11T19:33:06Z=|=false=|=Female=|=372=|=Beer - Labatt Blue=|=Kloburg
Flicker, campo=|=Siberian Husky=|=2020-11-14T15:48:30Z=|=true=|=Male=|=1254=|=Wine - Lou Black Shiraz=|=Xen
Common shelduck=|=Dachshund=|=2023-02-19T22:27:34Z=|=false=|=Male=|=239=|=Cafe Royale=|=Xen
Iguana, marine=|=Rottweiler=|=2023-05-22T06:22:16Z=|=true=|=Female=|=326=|=Beef - Baby, Liver=|=Kloburg
Cormorant, neotropic=|=Golden Retriever=|=2023-04-16T17:55:57Z=|=true=|=Male=|=1955=|=Egg Patty Fried=|=Witold's and Jerzy's
American buffalo=|=German Shepherd=|=2021-06-22T11:29:53Z=|=true=|=Genderqueer=|=1653=|=Wine - Savigny - Les - Beaune=|=Kumciaczkos
Mexican beaded lizard=|=Beagle=|=2021-11-17T03:25:01Z=|=false=|=Agender=|=1532=|=Mortadella=|=Sznippers
Lemur, ring-tailed=|=Beagle=|=2022-11-23T15:53:31Z=|=true=|=Female=|=399=|=Gatorade - Orange=|=Kloburg
Giant heron=|=Dachshund=|=2021-04-19T02:49:47Z=|=true=|=Female=|=241=|=Wine - Red, Mosaic Zweigelt=|=Miautex
Yellow-brown sungazer=|=Poodle=|=2022-01-13T14:39:45Z=|=true=|=Female=|=1973=|=Chips - Doritos=|=Holoubek Corp
Sockeye salmon=|=Poodle=|=2021-12-29T06:51:17Z=|=false=|=Male=|=280=|=Lamb Leg - Bone - In Nz=|=Holoubek Corp
Anteater, giant=|=Labrador Retriever=|=2020-04-08T07:33:40Z=|=true=|=Female=|=1488=|=Wine - Segura Viudas Aria Brut=|=Witold's and Jerzy's
Pale white-eye=|=Boxer=|=2023-01-20T22:41:18Z=|=false=|=Female=|=229=|=Sour Cream=|=Kumciaczkos
Dama wallaby=|=Beagle=|=2021-04-26T07:57:49Z=|=false=|=Female=|=1660=|=Sugar - Palm=|=Witold's and Jerzy's
White spoonbill=|=Siberian Husky=|=2020-12-31T00:20:17Z=|=true=|=Male=|=104=|=Wine - Alicanca Vinho Verde=|=Miautex
Dove, mourning collared=|=Rottweiler=|=2021-02-17T05:20:35Z=|=false=|=Female=|=224=|=Nut - Cashews, Whole, Raw=|=Sznippers
Malabar squirrel=|=Dachshund=|=2020-11-19T07:20:39Z=|=true=|=Female=|=132=|=Beets=|=Xen
Red-cheeked cordon bleu=|=Siberian Husky=|=2020-12-01T10:45:53Z=|=false=|=Female=|=1128=|=Fork - Plastic=|=Kumciaczkos
Wallaby, whip-tailed=|=Golden Retriever=|=2022-03-10T07:02:10Z=|=false=|=Male=|=1635=|=Bread - Pullman, Sliced=|=Kumciaczkos
Hedgehog, south african=|=Rottweiler=|=2020-11-14T19:12:19Z=|=false=|=Male=|=723=|=Beef - Salted=|=Holoubek Corp
Goose, greylag=|=Golden Retriever=|=2020-09-24T08:33:18Z=|=false=|=Male=|=1661=|=Capon - Whole=|=Kumciaczkos
Jackal, golden=|=Beagle=|=2022-03-08T12:51:26Z=|=false=|=Female=|=634=|=Buffalo - Short Rib Fresh=|=Kumciaczkos
Sun gazer=|=Golden Retriever=|=2021-01-26T16:38:56Z=|=true=|=Male=|=1607=|=Veal - Osso Bucco=|=Sznippers
Indian porcupine=|=Beagle=|=2020-05-20T23:04:50Z=|=true=|=Genderqueer=|=1047=|=Carbonated Water - Cherry=|=Kumciaczkos
African ground squirrel (unidentified)=|=Golden Retriever=|=2021-08-16T15:54:47Z=|=true=|=Male=|=1240=|=Bag - Regular Kraft 20 Lb=|=Kloburg
Siskin, yellow-rumped=|=German Shepherd=|=2021-04-13T08:13:13Z=|=false=|=Male=|=1645=|=Sauce - Oyster=|=Sznippers
Admiral, indian red=|=Beagle=|=2022-12-31T05:49:12Z=|=true=|=Genderfluid=|=1116=|=Bread - Pain Au Liat X12=|=Xen
Long-finned pilot whale=|=German Shepherd=|=2020-07-21T05:38:34Z=|=true=|=Male=|=849=|=Tea - Black Currant=|=Holoubek Corp
Peacock, indian=|=Poodle=|=2021-07-06T05:39:06Z=|=true=|=Female=|=1745=|=Pepper - Red Thai=|=Kloburg
Canadian tiger swallowtail butterfly=|=Siberian Husky=|=2021-10-30T13:31:04Z=|=true=|=Male=|=140=|=Versatainer Nc - 888=|=Kumciaczkos
Armadillo, seven-banded=|=Boxer=|=2021-08-10T16:30:35Z=|=false=|=Female=|=605=|=Extract - Lemon=|=Sznippers
Blue-tongued skink=|=Poodle=|=2021-09-22T11:37:02Z=|=false=|=Female=|=1788=|=Pop - Club Soda Can=|=Sznippers
Bustard, kori=|=Beagle=|=2022-07-23T11:09:06Z=|=false=|=Male=|=1570=|=Artichoke - Fresh=|=Witold's and Jerzy's
Lizard, collared=|=German Shepherd=|=2020-08-03T09:29:35Z=|=false=|=Female=|=1421=|=Alize Sunset=|=Xen
Woodpecker, red-headed=|=Dachshund=|=2022-06-23T15:44:18Z=|=false=|=Female=|=759=|=Pepper - Chillies, Crushed=|=Kumciaczkos
Rhea, gray=|=Golden Retriever=|=2020-05-19T08:33:33Z=|=false=|=Female=|=1867=|=Longos - Grilled Salmon With Bbq=|=Miautex
Squirrel, richardson's ground=|=German Shepherd=|=2022-06-28T21:07:05Z=|=true=|=Male=|=1813=|=Maintenance Removal Charge=|=Holoubek Corp
Crowned hawk-eagle=|=Dachshund=|=2021-09-15T23:13:55Z=|=true=|=Non-binary=|=398=|=Rice - Jasmine Sented=|=Sznippers
Red-breasted cockatoo=|=Beagle=|=2022-04-16T18:13:21Z=|=false=|=Female=|=1285=|=Ham - Black Forest=|=Sznippers
Yellow-rumped siskin=|=Labrador Retriever=|=2021-03-07T04:19:16Z=|=false=|=Female=|=1294=|=Sprouts - Onion=|=Sznippers
Southern white-crowned shrike=|=Rottweiler=|=2022-0
Deer, spotted=|=Siberian Husky=|=2021-02-26T18:18:41Z=|=true=|=Female=|=137=|=Pepper - Jalapeno=|=Holoubek Corp
Bat-eared fox=|=Poodle=|=2021-08-16T00:33:53Z=|=true=|=Male=|=629=|=Asparagus - Green, Fresh=|=Miautex
Pigeon, wood=|=Golden Retriever=|=2023-01-08T10:34:10Z=|=false=|=Female=|=1939=|=Pasta - Penne, Rigate, Dry=|=Kumciaczkos
Squirrel, nelson ground=|=German Shepherd=|=2021-06-16T15:20:03Z=|=false=|=Male=|=660=|=Eggroll=|=Xen
Indian giant squirrel=|=Boxer=|=2023-01-09T12:17:50Z=|=false=|=Female=|=1047=|=Wine - Pinot Noir Mondavi Coastal=|=Sznippers
Squirrel, arctic ground=|=German Shepherd=|=2020-11-19T16:06:37Z=|=true=|=Female=|=1358=|=Beef - Ground Medium=|=Kloburg
Bohor reedbuck=|=Boxer=|=2020-06-11T11:25:01Z=|=false=|=Male=|=1816=|=Godiva White Chocolate=|=Kloburg
Scottish highland cow=|=Bulldog=|=2022-08-26T21:08:52Z=|=true=|=Male=|=1097=|=Chick Peas - Dried=|=Holoubek Corp
King vulture=|=German Shepherd=|=2022-09-11T01:55:47Z=|=true=|=Male=|=936=|=Pork - Backs - Boneless=|=Sznippers
Bohor reedbuck=|=Golden Retriever=|=2021-06-08T16:18:33Z=|=true=|=Genderqueer=|=1975=|=Longos - Chicken Cordon Bleu=|=Kloburg
Yellow baboon=|=Dachshund=|=2021-08-18T04:53:35Z=|=true=|=Female=|=244=|=Cloves - Ground=|=Kloburg
Blackbuck=|=Dachshund=|=2022-04-12T20:01:42Z=|=false=|=Female=|=1559=|=Chocolate - Compound Coating=|=Sznippers
Monkey, vervet=|=Boxer=|=2021-06-25T06:43:40Z=|=false=|=Male=|=1557=|=Veal - Bones=|=Xen
Malachite kingfisher=|=Dachshund=|=2022-09-14T10:32:29Z=|=true=|=Female=|=1979=|=Yogurt - Plain=|=Sznippers
Crane, blue=|=Poodle=|=2020-11-29T03:58:12Z=|=false=|=Female=|=491=|=Sage Derby=|=Miautex
Slender loris=|=Bulldog=|=2021-01-11T23:50:39Z=|=true=|=Male=|=1682=|=Zucchini - Green=|=Sznippers
Tayra=|=Poodle=|=2022-06-10T09:47:52Z=|=true=|=Male=|=1212=|=Liqueur Banana, Ramazzotti=|=Witold's and Jerzy's
Brocket, red=|=Bulldog=|=2023-02-01T20:22:12Z=|=true=|=Male=|=1233=|=Flour - Rye=|=Kloburg
Rat, white-faced tree=|=Golden Retriever=|=2021-08-12T19:23:42Z=|=false=|=Female=|=1219=|=Cheese - Brie,danish=|=Witold's and Jerzy's
Red-tailed phascogale=|=Siberian Husky=|=2022-03-29T06:19:35Z=|=false=|=Male=|=1414=|=Beans - Green=|=Xen
Booby, masked=|=Bulldog=|=2023-02-15T22:21:30Z=|=false=|=Female=|=1409=|=Cheese - Comte=|=Sznippers
Osprey=|=Beagle=|=2022-01-13T03:00:21Z=|=false=|=Male=|=1290=|=Alize Gold Passion=|=Sznippers
Black-winged stilt=|=Labrador Retriever=|=2022-08-0
Gray rhea=|=Bulldog=|=2020-05-28T08:42:09Z=|=true=|=Male=|=476=|=Mushroom - White Button=|=Holoubek Corp
Heron, goliath=|=Rottweiler=|=2020-10-21T20:05:36Z=|=true=|=Female=|=265=|=Coffee - French Vanilla Frothy=|=Miautex
Mongoose, eastern dwarf=|=Dachshund=|=2020-04-06T07:37:52Z=|=false=|=Male=|=1091=|=Bread - White, Unsliced=|=Sznippers
Eagle, white-bellied sea=|=Beagle=|=2022-11-18T12:31:40Z=|=false=|=Male=|=1467=|=Muffin Puck Ww Carrot=|=Holoubek Corp
Spotted-tailed quoll=|=Rottweiler=|=2021-12-15T02:20:22Z=|=true=|=Female=|=272=|=Chocolate - White=|=Miautex
